Date,Open,High,Low,Close,,Body ,Range,RATIO
5/4/2020,89.790001,90.160004,88.709999,89.830002,,0.04,1.45,2.76
5/1/2020,91,91.360001,88.709999,89.830002,,1.17,2.65,44.15
4/1/2020,77,100,75.349998,92.089996,,15.09,24.65,61.22
3/1/2020,77.879997,84.400002,61.610001,78.910004,,1.03,22.79,4.52
2/1/2020,87.779999,90.080002,74.019997,77.029999,,10.75,16.06,66.94
1/1/2020,86.059998,92.449997,84.010002,87.139999,,1.08,8.44,12.8
12/1/2019,85.57,89.239998,83.269997,86.860001,,1.29,5.97,21.61
11/1/2019,84.089996,85.970001,80.900002,85.449997,,1.36,5.07,26.82
10/1/2019,84.029999,84.769997,78.510002,83.610001,,0.42,6.26,6.71
9/1/2019,84.43,86.43,81.019997,83.669998,,0.76,5.41,14.05
8/1/2019,87.18,88.059998,81.360001,85.32,,1.86,6.7,27.76
7/1/2019,84.739998,88.760002,82.900002,87.099998,,2.36,5.86,40.27
6/1/2019,76.25,85.449997,75.440002,84.099998,,7.85,10.01,78.42
