Date,Open,High,Low,Close
5/4/2020,89.790001,90.160004,88.709999,89.830002
5/4/2020,89.790001,90.160004,88.709999,89.830002
4/27/2020,95.480003,95.900002,88.75,89.849998
4/20/2020,94.82,100,92.779999,94.059998
4/13/2020,86.32,97.75,83.519997,96.010002
4/6/2020,81.080002,86.5,79.610001,86.040001
3/30/2020,82.830002,84.400002,75.349998,79.449997
3/23/2020,67.07,77.5,61.610001,74.559998
3/16/2020,70.650002,81.989998,67.949997,68
3/9/2020,76.610001,82.669998,72.010002,81.650002
3/2/2020,77.879997,83.5,77.25,81.739998
2/24/2020,85.449997,85.669998,74.019997,77.029999
2/17/2020,89.419998,89.93,87.160004,87.449997
2/10/2020,87.209999,89.709999,87.209999,89.660004
2/3/2020,87.779999,90.080002,86.75,87.870003
1/27/2020,89.110001,90.230003,86.900002,87.139999
1/20/2020,88.860001,92.449997,88.610001,90.400002
1/13/2020,85.5,89.199997,84.010002,89
1/6/2020,85.620003,86.989998,85.169998,85.360001
12/30/2019,87.519997,87.790001,85.589996,85.889999
12/23/2019,86.309998,87.75,86.279999,87.400002
12/16/2019,86.949997,89.239998,86,86.660004
12/9/2019,85.120003,86.709999,83.760002,86.349998
12/2/2019,85.57,85.910004,83.269997,85.480003
11/25/2019,83.910004,85.970001,83.879997,85.449997
11/18/2019,85.709999,85.900002,82.360001,83.739998
11/11/2019,83.309998,85.709999,83.269997,85.709999
11/4/2019,83.040001,83.889999,80.900002,83.739998
10/28/2019,81.800003,84.349998,81.760002,82.660004
10/21/2019,83.139999,83.279999,80.410004,81.650002
10/14/2019,79.690002,83.690002,79.419998,82.790001
10/7/2019,81.400002,81.980003,78.510002,79.629997
9/30/2019,82.190002,84.769997,78.769997,81.989998
9/23/2019,83.43,84.029999,81.419998,81.839996
9/16/2019,83.910004,84.5,82.849998,83.580002
9/9/2019,86.339996,86.43,81.019997,84.269997
9/2/2019,84.43,86.43,83.260002,86.040001
8/26/2019,82.610001,85.620003,82.019997,85.32
8/19/2019,85.790001,86.129997,81.360001,81.93
8/12/2019,86.389999,87.099998,83.519997,84.779999
8/5/2019,84.730003,87.050003,82.309998,86.620003
7/29/2019,88.059998,88.730003,84.739998,85.82
7/22/2019,87.360001,88.760002,87.269997,87.75
7/15/2019,83.809998,88.330002,82.900002,87.489998
7/8/2019,85.279999,85.989998,83.059998,83.919998
7/1/2019,84.739998,85.650002,83.75,85.419998
6/24/2019,84.779999,85.449997,82.629997,84.099998
6/17/2019,82.389999,85.360001,81.669998,85
6/10/2019,81,82.860001,80.440002,82.220001
6/3/2019,76.25,81.160004,75.440002,80.739998
5/27/2019,77.029999,77.980003,74.940002,76.129997
5/20/2019,75.599998,77.080002,75.199997,76.980003
5/13/2019,75.169998,77.370003,74.959999,75.970001
5/6/2019,77.419998,79.169998,74.540001,76.449997
