Date,Open,High,Low,Close,,Body ,Range,RATIO
5/4/2020,89.790001,90.160004,88.709999,89.830002,,0.04,1.45,2.76
5/1/2020,91,91.360001,88.75,89.849998,,1.15,2.61,44.06
4/30/2020,91.849998,93.769997,91.849998,92.089996,,0.24,1.92,12.5
4/29/2020,92.089996,93.050003,91.07,92.279999,,0.19,1.98,9.6
4/28/2020,94.879997,95.150002,91.339996,91.459999,,3.42,3.81,89.76
4/27/2020,95.480003,95.900002,94.019997,94.949997,,0.53,1.88,28.19
4/24/2020,94.5,94.580002,92.779999,94.059998,,0.44,1.8,24.44
4/23/2020,97,97.449997,93.349998,93.940002,,3.06,4.1,74.63
4/22/2020,94.279999,95.980003,92.790001,95.480003,,1.2,3.19,37.62
4/21/2020,96.099998,96.970001,93.620003,94.050003,,2.05,3.35,61.19
4/20/2020,94.82,100,94.650002,98,,3.18,5.35,59.44
4/17/2020,97.449997,97.75,94.239998,96.010002,,1.44,3.51,41.03
4/16/2020,92.599998,96.989998,91.139999,96,,3.4,5.85,58.12
4/15/2020,90.010002,91.900002,88.510002,90.940002,,0.93,3.39,27.43
4/14/2020,87,89.540001,86.5,89.139999,,2.14,3.04,70.39
4/13/2020,86.32,86.480003,83.519997,85.849998,,0.47,2.96,15.88
4/9/2020,85,86.5,82.949997,86.040001,,1.04,3.55,29.3
4/8/2020,81.3,85.389999,81.050003,84.949997,,3.65,4.34,84.1
4/7/2020,83.449997,84.480003,81.769997,81.93,,1.52,2.71,56.09
4/6/2020,81.080002,83.120003,79.610001,82.730003,,1.65,3.51,47.01
4/3/2020,78.790001,79.989998,78.18,79.449997,,0.66,1.81,36.46
4/2/2020,76.120003,79.660004,76,79.440002,,3.32,3.66,90.71
4/1/2020,77,77.379997,75.349998,76.57,,0.43,2.03,21.18
3/31/2020,81.43,81.489998,78.559998,78.910004,,2.52,2.93,86.01
3/30/2020,82.830002,84.400002,78.470001,79.339996,,3.49,5.93,58.85
3/27/2020,77.5,77.5,73.610001,74.559998,,2.94,3.89,75.58
3/26/2020,71.080002,75.970001,71,75.809998,,4.73,4.97,95.17
3/25/2020,68.949997,72.629997,68.150002,70.75,,1.8,4.48,40.18
3/24/2020,64.910004,69.970001,64.5,69.690002,,4.78,5.47,87.39
3/23/2020,67.07,67.489998,61.610001,62.82,,4.25,5.88,72.28
3/20/2020,74.050003,74.860001,67.949997,68,,6.05,6.91,87.55
3/19/2020,81.360001,81.809998,73.550003,74.5,,6.86,8.26,83.05
3/18/2020,74.980003,81.989998,74.389999,79.260002,,4.28,7.6,56.32
3/17/2020,75.519997,79.790001,73.339996,79.489998,,3.97,6.45,61.55
3/16/2020,70.650002,79.25,70,73.660004,,3.01,9.25,32.54
3/13/2020,77.910004,82.669998,74.830002,81.650002,,3.74,7.84,47.7
3/12/2020,73.279999,78.150002,72.010002,74.739998,,1.46,6.14,23.78
3/11/2020,78.529999,79.07,76.349998,78.089996,,0.44,2.72,16.18
3/10/2020,79.230003,81,75.93,80.879997,,1.65,5.07,32.54
3/9/2020,76.610001,79.339996,75.099998,77.019997,,0.41,4.24,9.67
3/6/2020,78.599998,82.300003,78.089996,81.739998,,3.14,4.21,74.58
3/5/2020,80.290001,81.470001,79.129997,80.519997,,0.23,2.34,9.83
3/4/2020,80.660004,82.330002,79.459999,82.089996,,1.43,2.87,49.83
3/3/2020,81.580002,83.5,77.260002,77.989998,,3.59,6.24,57.53
3/2/2020,77.879997,81.68,77.25,81.610001,,3.73,4.43,84.2
2/28/2020,77.120003,78.160004,74.019997,77.029999,,0.09,4.14,2.17
2/27/2020,80.400002,82.029999,79.160004,79.190002,,1.21,2.87,42.16
2/26/2020,82.129997,82.879997,81.110001,81.360001,,0.77,1.77,43.5
2/25/2020,84.93,85.370003,80.779999,81.129997,,3.8,4.59,82.79
2/24/2020,85.449997,85.669998,84.07,84.629997,,0.82,1.6,51.25
2/21/2020,88.040001,88.25,87.160004,87.449997,,0.59,1.09,54.13
2/20/2020,89.099998,89.559998,88.040001,88.459999,,0.64,1.52,42.11
2/19/2020,88.830002,89.93,88.690002,89.360001,,0.53,1.24,42.74
2/18/2020,89.419998,89.489998,88.309998,88.879997,,0.54,1.18,45.76
2/14/2020,88.870003,89.709999,88.309998,89.660004,,0.79,1.4,56.43
2/13/2020,88.5,89.040001,87.699997,88.68,,0.18,1.34,13.43
2/12/2020,89.559998,89.589996,88.580002,88.790001,,0.77,1.01,76.24
2/11/2020,88.639999,89.410004,88.529999,89.169998,,0.53,0.88,60.23
2/10/2020,87.209999,88.300003,87.209999,88.300003,,1.09,1.09,100
2/7/2020,89.230003,89.510002,87.68,87.870003,,1.36,1.83,74.32
2/6/2020,90,90.080002,89.25,89.470001,,0.53,0.83,63.86
2/5/2020,88.870003,89.610001,88.550003,89.559998,,0.69,1.06,65.09
2/4/2020,88.150002,89.25,88.150002,88.230003,,0.08,1.1,7.27
2/3/2020,87.779999,88.400002,86.75,87.059998,,0.72,1.65,43.64
1/31/2020,89.129997,89.230003,86.900002,87.139999,,1.99,2.33,85.41
1/30/2020,88.290001,89.209999,87.970001,89.160004,,0.87,1.24,70.16
1/29/2020,89.610001,90.230003,89.07,89.139999,,0.47,1.16,40.52
1/28/2020,89.699997,90.029999,89.389999,89.540001,,0.16,0.64,25
1/27/2020,89.110001,90,88.889999,89.589996,,0.48,1.11,43.24
1/24/2020,90.849998,91.529999,90.209999,90.400002,,0.45,1.32,34.09
1/23/2020,91.809998,91.849998,90.160004,90.730003,,1.08,1.69,63.91
1/22/2020,90.779999,92.449997,90.029999,91.860001,,1.08,2.42,44.63
1/21/2020,88.860001,90.040001,88.610001,89.730003,,0.87,1.43,60.84
1/17/2020,88.449997,89.199997,88.309998,89,,0.55,0.89,61.8
1/16/2020,87.940002,88.309998,87.419998,88.279999,,0.34,0.89,38.2
1/15/2020,86.110001,87.849998,86.110001,87.379997,,1.27,1.74,72.99
1/14/2020,84.129997,86,84.010002,85.739998,,1.61,1.99,80.9
1/13/2020,85.5,85.730003,84.739998,85.120003,,0.38,0.99,38.38
1/10/2020,86.790001,86.989998,85.169998,85.360001,,1.43,1.82,78.57
1/9/2020,86.300003,86.68,85.75,86.440002,,0.14,0.93,15.05
1/8/2020,86.239998,86.660004,85.93,86.209999,,0.03,0.73,4.11
1/7/2020,85.769997,86.300003,85.540001,85.860001,,0.09,0.76,11.84
1/6/2020,85.620003,86.360001,85.209999,86.339996,,0.72,1.15,62.61
1/3/2020,85.75,86.669998,85.589996,85.889999,,0.14,1.08,12.96
1/2/2020,86.059998,86.959999,85.800003,86.949997,,0.89,1.16,76.72
12/31/2019,86.5,86.989998,86.269997,86.860001,,0.36,0.72,50
12/30/2019,87.519997,87.790001,86.610001,86.800003,,0.72,1.18,61.02
12/27/2019,87.489998,87.75,87.019997,87.400002,,0.09,0.73,12.33
12/26/2019,87.209999,87.519997,86.879997,87.279999,,0.07,0.64,10.94
12/24/2019,87.370003,87.480003,86.980003,87.279999,,0.09,0.5,18
12/23/2019,86.309998,87.459999,86.279999,87.349998,,1.04,1.18,88.14
12/20/2019,88.989998,89.239998,86.629997,86.660004,,2.33,2.61,89.27
12/19/2019,86.739998,87.349998,86.489998,87.349998,,0.61,0.86,70.93
12/18/2019,87.080002,87.269997,86.610001,86.93,,0.15,0.66,22.73
12/17/2019,86.580002,87.300003,86,87.059998,,0.48,1.3,36.92
12/16/2019,86.949997,87.099998,86.300003,86.400002,,0.55,0.8,68.75
12/13/2019,85.779999,86.709999,85.779999,86.349998,,0.57,0.93,61.29
12/12/2019,84.779999,86.279999,84.639999,85.970001,,1.19,1.64,72.56
12/11/2019,84.620003,85.040001,84.209999,84.910004,,0.29,0.83,34.94
12/10/2019,83.879997,84.629997,83.760002,84.559998,,0.68,0.87,78.16
12/9/2019,85.120003,85.419998,83.830002,83.870003,,1.25,1.59,78.62
12/6/2019,85.669998,85.910004,85.379997,85.480003,,0.19,0.53,35.85
12/5/2019,85.120003,85.419998,84.330002,85.239998,,0.12,1.09,11.01
12/4/2019,84.5,85.339996,84.440002,85.18,,0.68,0.9,75.56
12/3/2019,83.589996,84.419998,83.269997,84.360001,,0.77,1.15,66.96
12/2/2019,85.57,85.720001,83.980003,84.510002,,1.06,1.74,60.92
11/29/2019,85.300003,85.650002,84.839996,85.449997,,0.15,0.81,18.52
11/27/2019,85.970001,85.970001,85.160004,85.419998,,0.55,0.81,67.9
11/26/2019,84.650002,85.57,84.32,85.419998,,0.77,1.25,61.6
11/25/2019,83.910004,84.809998,83.879997,84.489998,,0.58,0.93,62.36
11/22/2019,83.949997,84.019997,82.790001,83.739998,,0.21,1.23,17.07
11/21/2019,83.720001,83.800003,82.360001,83.68,,0.04,1.44,2.78
11/20/2019,84.339996,84.730003,83.199997,83.889999,,0.45,1.53,29.41
11/19/2019,84.620003,84.639999,83.900002,84.290001,,0.33,0.74,44.6
11/18/2019,85.709999,85.900002,84.019997,84.260002,,1.45,1.88,77.13
11/15/2019,84.669998,85.709999,84.400002,85.709999,,1.04,1.31,79.39
11/14/2019,84.089996,84.389999,83.68,84.120003,,0.03,0.71,4.23
11/13/2019,83.959999,84.419998,83.269997,84.220001,,0.26,1.15,22.61
11/12/2019,83.660004,84.779999,83.660004,84.339996,,0.68,1.12,60.71
11/11/2019,83.309998,83.900002,83.309998,83.760002,,0.45,0.59,76.27
11/8/2019,83.330002,83.889999,83.18,83.739998,,0.41,0.71,57.75
11/7/2019,83.129997,83.580002,82.910004,83.389999,,0.26,0.67,38.81
11/6/2019,82.5,83.440002,82.379997,83.120003,,0.62,1.06,58.49
11/5/2019,82.870003,82.900002,80.900002,82.339996,,0.53,2,26.5
11/4/2019,83.040001,83.209999,82.220001,82.220001,,0.82,0.99,82.83
11/1/2019,84.089996,84.290001,82.610001,82.660004,,1.43,1.68,85.12
10/31/2019,83.769997,84.349998,82.919998,83.610001,,0.16,1.43,11.19
10/30/2019,83.32,84.089996,82.900002,84.010002,,0.69,1.19,57.98
10/29/2019,82.449997,83.870003,82.290001,83.449997,,1,1.58,63.29
10/28/2019,81.800003,82.889999,81.760002,82.660004,,0.86,1.13,76.11
10/25/2019,81.449997,81.970001,81.080002,81.650002,,0.2,0.89,22.47
10/24/2019,81.589996,82.089996,81.209999,81.360001,,0.23,0.88,26.14
10/23/2019,80.690002,81.599998,80.410004,81.269997,,0.58,1.19,48.74
10/22/2019,81.809998,82.279999,80.5,80.540001,,1.27,1.78,71.35
10/21/2019,83.139999,83.279999,81.519997,81.650002,,1.49,1.76,84.66
10/18/2019,82.410004,83.32,82.029999,82.790001,,0.38,1.29,29.46
10/17/2019,81.519997,83,81.470001,82.379997,,0.86,1.53,56.21
10/16/2019,81.360001,83.690002,79.650002,81.779999,,0.42,4.04,10.4
10/15/2019,80.699997,82.75,80.699997,81.980003,,1.28,2.05,62.44
10/14/2019,79.690002,80.190002,79.419998,79.82,,0.13,0.77,16.88
10/11/2019,80.730003,81.330002,79.550003,79.629997,,1.1,1.78,61.8
