Date,Open,High,Low,Close
17/04/2020,221.46,225.26,215.11,224.05
01/04/2020,195.27,225.26,190.56,224.05
01/03/2020,196.36,205.27,162.20,201.77
01/02/2020,182.13,218.16,182.13,195.81
01/01/2020,187.19,196.03,181.67,182.47
01/12/2019,187.75,190.65,176.20,187.12
01/11/2019,162.11,190.59,162.11,187.48
01/10/2019,159.79,167.05,148.89,161.61
01/09/2019,160.53,165.22,151.01,159.60
01/08/2019,254.63,259.72,155.00,161.75
01/07/2019,254.85,258.32,231.12,254.44
01/06/2019,213.77,255.33,212.29,251.91
01/05/2019,228.20,237.95,212.27,212.80
