Date,Open,High,Low,Close
17/04/2020,221.46,225.26,215.11,224.05
13/04/2020,208.00,225.26,199.38,224.05
06/04/2020,207.15,214.98,200.41,207.96
30/03/2020,189.31,209.53,185.38,204.87
23/03/2020,174.39,201.00,162.00,187.67
16/03/2020,162.13,193.45,162.00,172.90
09/03/2020,177.89,191.94,161.94,180.56
02/03/2020,196.35,205.27,180.00,188.11
24/02/2020,209.65,214.03,185.46,195.81
17/02/2020,213.65,218.16,211.22,215.73
10/02/2020,210.39,215.25,208.34,214.00
03/02/2020,182.13,217.24,182.13,210.76
27/01/2020,185.20,189.63,181.67,182.47
20/01/2020,191.70,194.91,186.40,187.69
13/01/2020,187.81,196.03,182.57,191.54
06/01/2020,184.28,189.68,182.20,187.45
30/12/2019,186.39,188.21,182.13,185.50
23/12/2019,185.20,190.65,183.82,186.21
16/12/2019,178.59,190.31,178.59,184.92
09/12/2019,184.55,184.66,176.20,178.30
02/12/2019,187.75,188.33,181.39,185.24
25/11/2019,187.47,190.59,186.69,187.48
18/11/2019,174.00,187.95,171.12,186.98
11/11/2019,166.29,187.16,165.96,174.44
04/11/2019,167.37,168.75,163.96,167.21
28/10/2019,158.49,168.04,158.25,166.76
21/10/2019,157.19,160.93,153.99,158.90
14/10/2019,153.49,157.56,148.89,155.75
07/10/2019,156.67,158.95,151.60,153.39
30/09/2019,156.54,160.94,152.35,157.86
23/09/2019,159.80,163.08,155.21,156.42
16/09/2019,161.31,165.22,158.58,159.80
09/09/2019,155.86,164.33,153.08,162.80
02/09/2019,160.54,160.86,151.01,155.98
26/08/2019,162.59,165.00,155.00,161.75
19/08/2019,166.60,169.72,160.68,161.66
12/08/2019,167.22,171.84,161.83,165.99
05/08/2019,251.75,254.09,160.00,166.89
29/07/2019,254.05,259.72,251.18,255.95
22/07/2019,251.89,256.40,247.69,254.69
15/07/2019,248.73,252.76,246.54,251.65
08/07/2019,250.16,250.16,231.12,248.80
01/07/2019,254.85,254.85,245.76,251.46
24/06/2019,249.11,255.33,243.13,251.91
17/06/2019,242.55,249.50,237.00,248.87
10/06/2019,230.99,242.68,227.42,241.71
03/06/2019,213.77,230.91,212.29,230.19
27/05/2019,225.47,229.84,212.27,212.80
20/05/2019,222.99,229.30,221.77,225.66
13/05/2019,224.91,232.31,220.39,224.59
06/05/2019,227.45,237.95,217.45,228.92
29/04/2019,225.38,236.08,223.01,231.09
22/04/2019,220.95,228.55,220.49,225.55
