Date,Open,High,Low,Close
17/04/2020,221.46,225.26,215.11,224.05
16/04/2020,213.80,222.77,213.80,217.01
15/04/2020,202.51,214.99,201.47,212.35
14/04/2020,205.16,206.70,200.00,206.49
13/04/2020,208.00,209.26,199.38,201.43
09/04/2020,208.25,211.70,202.17,207.96
08/04/2020,208.10,211.87,200.41,207.44
07/04/2020,209.60,214.98,204.21,205.55
06/04/2020,207.15,210.61,203.20,207.01
03/04/2020,204.07,209.32,202.00,204.87
02/04/2020,200.30,209.53,197.51,204.83
01/04/2020,195.28,207.44,190.56,202.55
31/03/2020,196.56,202.73,194.28,201.77
30/03/2020,189.31,197.68,185.38,196.87
27/03/2020,178.71,194.44,174.07,187.67
26/03/2020,190.13,197.28,178.67,183.07
25/03/2020,182.93,201.00,179.48,189.58
24/03/2020,169.27,182.83,166.12,182.26
23/03/2020,174.39,174.39,162.00,162.63
20/03/2020,176.85,184.18,171.13,172.90
19/03/2020,184.00,193.45,174.39,178.81
18/03/2020,175.78,183.94,167.59,183.61
17/03/2020,163.07,188.80,162.00,176.87
16/03/2020,162.13,175.01,159.24,160.04
13/03/2020,184.74,190.96,167.49,180.56
12/03/2020,166.83,180.26,161.94,178.01
11/03/2020,187.00,187.00,174.64,180.56
10/03/2020,182.24,191.94,177.23,190.58
09/03/2020,177.89,181.99,163.73,178.57
06/03/2020,185.19,190.71,180.00,188.11
05/03/2020,194.62,195.81,189.08,191.78
04/03/2020,198.34,199.61,196.01,198.44
03/03/2020,201.17,205.27,191.84,194.61
02/03/2020,196.35,202.48,193.48,200.77
28/02/2020,194.10,207.20,185.46,195.81
27/02/2020,200.75,214.03,193.61,200.35
26/02/2020,204.61,206.78,202.84,204.33
25/02/2020,210.30,210.30,203.31,203.99
24/02/2020,209.65,211.98,206.82,209.60
21/02/2020,214.95,217.51,213.18,215.73
20/02/2020,215.42,218.16,213.18,215.34
19/02/2020,214.49,217.06,213.50,216.15
18/02/2020,213.65,214.36,211.22,213.26
14/02/2020,211.91,215.08,210.95,214.00
13/02/2020,209.16,214.78,208.34,211.40
12/02/2020,213.51,213.51,209.66,209.99
11/02/2020,211.52,215.25,210.09,211.81
10/02/2020,210.39,211.05,208.73,210.61
07/02/2020,213.60,217.24,208.58,210.76
06/02/2020,208.00,216.46,207.06,214.48
05/02/2020,193.87,197.39,192.88,196.28
04/02/2020,190.88,193.17,189.14,192.46
03/02/2020,182.13,189.15,182.13,188.96
31/01/2020,185.04,185.52,181.67,182.47
30/01/2020,183.80,187.22,181.94,185.42
29/01/2020,186.72,188.73,184.57,185.07
28/01/2020,186.50,189.63,185.26,187.08
27/01/2020,185.20,187.44,184.41,186.00
24/01/2020,188.93,190.68,186.40,187.69
23/01/2020,194.15,194.91,187.89,188.42
22/01/2020,191.11,194.60,191.11,194.26
21/01/2020,191.70,193.47,190.00,190.72
17/01/2020,189.02,192.99,187.60,191.54
16/01/2020,194.81,196.03,185.40,188.44
15/01/2020,189.14,194.88,188.37,194.35
14/01/2020,185.54,189.85,185.00,189.01
13/01/2020,187.81,187.81,182.57,185.47
10/01/2020,187.91,188.86,186.82,187.45
09/01/2020,188.47,189.68,186.77,187.15
08/01/2020,185.42,188.32,184.93,187.60
07/01/2020,185.53,186.00,183.76,185.75
06/01/2020,184.28,185.93,182.20,185.76
03/01/2020,184.25,185.98,182.13,185.50
02/01/2020,187.20,187.20,183.21,185.62
31/12/2019,184.60,188.21,184.60,187.12
30/12/2019,186.39,186.39,184.29,185.31
27/12/2019,186.64,188.17,183.89,186.21
26/12/2019,188.29,190.65,186.33,187.22
24/12/2019,186.78,189.62,185.72,187.84
23/12/2019,185.20,187.60,183.82,186.90
20/12/2019,186.51,186.66,184.09,184.92
19/12/2019,184.68,187.58,184.37,185.90
18/12/2019,184.41,186.10,182.26,185.99
17/12/2019,185.32,185.50,181.04,184.58
16/12/2019,178.59,190.31,178.59,186.38
13/12/2019,180.27,181.26,177.27,178.30
12/12/2019,177.82,182.60,177.27,182.10
11/12/2019,180.18,180.18,176.20,178.61
10/12/2019,178.80,180.34,176.63,179.91
09/12/2019,184.55,184.66,178.82,179.16
06/12/2019,185.26,187.35,184.80,185.24
05/12/2019,183.86,185.12,182.26,184.22
04/12/2019,184.73,185.48,181.39,183.78
03/12/2019,186.39,186.84,183.62,184.73
02/12/2019,187.75,188.33,186.52,187.84
29/11/2019,189.38,189.38,187.21,187.48
27/11/2019,187.21,189.90,186.74,189.51
26/11/2019,188.46,189.86,187.03,187.25
25/11/2019,187.47,190.59,186.69,188.26
22/11/2019,186.00,187.95,185.16,186.98
21/11/2019,184.20,186.23,182.52,185.23
20/11/2019,182.70,185.46,182.22,184.08
19/11/2019,178.20,184.44,176.73,182.88
18/11/2019,174.00,178.42,171.12,178.40
15/11/2019,175.41,179.28,173.15,174.44
14/11/2019,174.86,176.13,173.09,174.72
13/11/2019,177.22,181.10,174.50,175.18
12/11/2019,186.00,187.16,173.53,178.67
11/11/2019,166.29,169.91,165.96,168.10
08/11/2019,165.58,167.49,164.69,167.21
07/11/2019,166.12,167.16,164.49,165.71
06/11/2019,167.13,167.13,163.96,165.23
05/11/2019,166.06,168.75,165.42,167.22
04/11/2019,167.37,167.37,163.98,166.03
01/11/2019,162.11,168.04,162.11,166.76
31/10/2019,161.83,163.42,159.02,161.61
30/10/2019,165.30,167.05,161.10,162.41
29/10/2019,161.63,166.53,160.34,165.34
28/10/2019,158.49,163.16,158.25,161.87
25/10/2019,157.98,160.93,157.81,158.90
24/10/2019,156.88,158.78,155.71,158.33
23/10/2019,155.50,156.76,155.36,156.08
22/10/2019,154.35,156.34,153.99,155.25
21/10/2019,157.19,157.75,154.06,154.33
18/10/2019,155.92,157.56,153.87,155.75
17/10/2019,153.94,156.87,152.81,156.63
16/10/2019,152.77,155.39,148.89,152.89
15/10/2019,152.31,154.68,151.00,152.39
14/10/2019,153.49,153.49,150.62,151.88
11/10/2019,153.06,155.16,152.21,153.39
10/10/2019,155.37,155.65,151.60,152.48
09/10/2019,155.12,155.69,152.47,154.05
08/10/2019,156.80,157.74,153.24,154.30
07/10/2019,156.67,158.95,153.84,158.36
04/10/2019,156.64,158.19,154.76,157.86
03/10/2019,156.38,156.38,152.35,156.08
02/10/2019,155.06,156.46,153.23,156.20
01/10/2019,159.79,160.94,155.24,156.05
30/09/2019,156.54,160.35,156.54,159.60
27/09/2019,156.64,158.06,155.60,156.42
26/09/2019,160.99,160.99,155.21,156.25
25/09/2019,159.51,161.21,158.23,160.21
24/09/2019,160.82,163.08,158.15,159.73
23/09/2019,159.80,161.90,157.79,159.95
20/09/2019,159.62,161.49,158.58,159.80
19/09/2019,160.50,162.36,159.44,160.00
18/09/2019,164.49,164.76,160.10,160.75
17/09/2019,163.80,165.22,161.90,164.28
16/09/2019,161.31,165.19,160.73,164.55
13/09/2019,159.67,164.33,159.39,162.80
12/09/2019,161.06,163.87,158.15,159.95
11/09/2019,160.56,164.22,158.65,160.91
10/09/2019,156.82,162.48,155.78,160.79
09/09/2019,155.86,158.39,153.08,156.70
06/09/2019,157.50,159.98,155.89,155.98
05/09/2019,156.04,159.30,154.43,158.14
04/09/2019,155.04,155.48,152.75,155.29
03/09/2019,160.54,160.86,151.01,154.21
30/08/2019,158.51,162.27,155.00,161.75
29/08/2019,161.66,161.66,158.12,158.33
28/08/2019,157.69,160.72,155.73,159.65
27/08/2019,164.45,164.65,158.52,158.70
26/08/2019,162.59,165.00,161.88,164.57
23/08/2019,166.20,167.03,160.68,161.66
22/08/2019,165.29,167.98,163.96,166.41
21/08/2019,165.97,167.31,163.26,164.94
20/08/2019,166.92,167.67,164.06,164.90
19/08/2019,166.60,169.72,165.79,166.40
16/08/2019,168.00,169.79,164.75,165.99
15/08/2019,164.37,168.51,164.37,167.02
14/08/2019,166.37,168.77,161.83,164.70
13/08/2019,168.07,171.84,166.96,168.12
12/08/2019,167.22,170.10,163.03,169.28
09/08/2019,165.00,172.56,165.00,166.89
08/08/2019,169.00,177.61,160.00,163.96
07/08/2019,243.21,246.12,239.88,242.67
