Date,Open,High,Low,Close
24/04/2020,81.60,82.10,81.02,81.43
23/04/2020,80.19,81.88,80.17,80.88
22/04/2020,79.20,80.65,78.83,79.98
21/04/2020,81.62,82.30,78.21,78.56
20/04/2020,82.82,84.13,80.76,83.10
17/04/2020,83.95,84.16,82.44,83.46
16/04/2020,82.65,83.33,82.26,83.00
15/04/2020,81.23,82.96,80.56,82.07
14/04/2020,82.33,83.20,80.73,82.84
13/04/2020,81.82,82.47,79.83,80.54
09/04/2020,81.17,83.29,80.18,82.49
08/04/2020,79.18,83.00,78.34,81.62
07/04/2020,81.68,81.97,78.40,78.56
06/04/2020,78.33,80.85,77.90,80.31
03/04/2020,76.28,77.44,75.32,76.25
02/04/2020,75.98,77.12,74.03,76.87
01/04/2020,74.66,75.47,73.71,73.80
31/03/2020,76.25,77.60,75.52,76.94
30/03/2020,73.62,77.59,72.88,76.95
27/03/2020,71.80,73.43,71.25,71.73
26/03/2020,68.14,74.18,68.10,73.53
25/03/2020,68.41,70.38,66.75,68.22
24/03/2020,68.99,69.75,67.19,69.05
23/03/2020,70.27,71.61,65.25,66.40
20/03/2020,69.55,72.50,68.50,71.36
19/03/2020,71.35,72.86,68.91,70.73
18/03/2020,71.45,74.66,68.83,71.63
17/03/2020,71.65,76.07,71.38,74.48
16/03/2020,70.77,76.09,67.12,69.92
13/03/2020,76.22,77.23,72.26,76.75
12/03/2020,74.40,78.06,73.26,74.45
11/03/2020,79.83,80.16,78.03,79.25
10/03/2020,80.48,82.18,77.50,82.02
09/03/2020,78.00,80.72,76.99,78.96
06/03/2020,79.97,82.62,79.43,82.20
05/03/2020,81.53,82.77,80.94,81.58
04/03/2020,81.50,83.07,79.88,82.97
03/03/2020,81.40,82.40,77.91,79.13
02/03/2020,77.13,81.55,77.08,81.37
28/02/2020,76.68,77.49,74.18,76.56
27/02/2020,80.71,81.75,78.00,78.08
26/02/2020,80.66,81.63,79.77,79.94
25/02/2020,81.53,81.94,79.85,80.27
24/02/2020,80.61,82.59,80.57,81.33
21/02/2020,82.19,82.63,81.71,82.34
20/02/2020,82.22,82.83,81.72,82.49
19/02/2020,83.08,83.11,81.57,82.00
18/02/2020,82.88,83.11,82.26,82.46
14/02/2020,82.23,82.80,81.67,82.65
13/02/2020,82.93,82.93,81.45,81.97
12/02/2020,85.04,85.23,82.90,83.25
11/02/2020,85.50,86.00,84.95,85.25
10/02/2020,85.40,85.98,84.94,85.66
07/02/2020,85.89,85.94,84.83,85.08
06/02/2020,86.02,86.23,85.26,85.68
05/02/2020,84.68,86.74,84.00,85.83
04/02/2020,88.43,89.20,88.06,88.36
03/02/2020,86.04,88.22,86.04,87.34
31/01/2020,86.38,86.67,85.00,85.44
30/01/2020,86.95,87.13,86.20,86.50
29/01/2020,86.60,88.16,86.43,87.24
28/01/2020,86.44,86.71,85.90,86.25
27/01/2020,85.10,86.51,84.71,86.10
24/01/2020,88.63,88.83,85.58,85.98
23/01/2020,89.66,89.66,88.26,88.56
22/01/2020,90.17,90.46,89.62,89.65
21/01/2020,90.72,90.97,89.71,89.97
17/01/2020,91.28,91.63,90.86,90.97
16/01/2020,91.86,92.06,91.05,91.18
15/01/2020,90.10,91.61,90.09,91.54
14/01/2020,89.27,89.93,88.87,89.93
13/01/2020,89.52,89.63,89.02,89.51
10/01/2020,89.72,90.11,89.45,89.53
09/01/2020,88.95,90.05,88.78,89.38
08/01/2020,89.09,89.50,88.41,88.60
07/01/2020,90.80,91.12,89.12,89.20
06/01/2020,91.23,91.74,90.99,91.64
03/01/2020,90.68,92.07,90.51,91.25
02/01/2020,91.08,92.14,90.37,92.04
