Date,Open,High,Low,Close
24/04/2020 15:30,81.54,81.74,81.28,81.43
24/04/2020 14:30,81.52,81.56,81.21,81.54
24/04/2020 13:30,81.65,81.71,81.275,81.525
24/04/2020 12:30,82.03,82.06,81.615,81.65
24/04/2020 11:30,81.625,82.1,81.6,82.03
24/04/2020 10:30,81.72,81.835,81.55,81.62
24/04/2020 09:30,81.6,81.8395,81.02,81.71
23/04/2020 15:30,81.14,81.295,80.82,80.88
23/04/2020 14:30,81.23,81.82,80.99,81.13
23/04/2020 13:30,80.99,81.29,80.77,81.24
23/04/2020 12:30,81.425,81.485,80.35,80.99
23/04/2020 11:30,81.71,81.75,80.99,81.43
23/04/2020 10:30,81.36,81.875,81.21,81.705
23/04/2020 09:30,80.74,81.83,80.62,81.35
22/04/2020 15:30,80.39,80.63,79.88,79.96
22/04/2020 14:30,79.8,80.56,79.78,80.38
22/04/2020 13:30,80.29,80.32,79.78,79.8
22/04/2020 12:30,80.0902,80.3,79.78,80.295
22/04/2020 11:30,79.76,80.09,79.7,80.085
22/04/2020 10:30,79.602,79.91,79.39,79.77
22/04/2020 09:30,79.1,79.95,78.83,79.6
21/04/2020 15:30,78.815,78.97,78.21,78.68
21/04/2020 14:30,79.05,79.06,78.38,78.82
21/04/2020 13:30,79.36,79.4,78.6,79.02
21/04/2020 12:30,79.56,79.76,79.2,79.36
21/04/2020 11:30,79.94,80.22,79.4415,79.56
21/04/2020 10:30,81.14,81.23,79.77,79.9204
21/04/2020 09:30,81.62,82.3,80.76,81.12
20/04/2020 15:30,83.26,83.405,82.85,83.05
20/04/2020 14:30,83.71,84.0487,82.914,83.27
20/04/2020 13:30,83.67,84.13,83.57,83.71
20/04/2020 12:30,82.93,83.79,82.93,83.65
20/04/2020 11:30,82.095,83.05,82.02,82.92
20/04/2020 10:30,81.34,82.18,81.3098,82.095
20/04/2020 09:30,82.82,82.82,80.76,81.34
17/04/2020 15:30,82.845,83.55,82.77,83.48
17/04/2020 14:30,82.96,83.1,82.71,82.85
17/04/2020 13:30,83.06,83.22,82.95,82.97
17/04/2020 12:30,83.13,83.3,83,83.06
17/04/2020 11:30,82.69,83.34,82.68,83.13
17/04/2020 10:30,83.0934,83.15,82.44,82.69
17/04/2020 09:30,83.95,84.16,82.64,83.09
16/04/2020 15:30,82.89,83.26,82.87,83
16/04/2020 14:30,82.7,82.96,82.34,82.88
16/04/2020 13:30,82.91,82.97,82.56,82.71
16/04/2020 12:30,82.59,82.98,82.28,82.91
16/04/2020 11:30,82.835,83.33,82.43,82.62
16/04/2020 10:30,82.43,83.22,82.26,82.84
16/04/2020 09:30,82.65,83.06,82.36,82.4
15/04/2020 15:30,82.21,82.37,81.93,82.1
15/04/2020 14:30,82.59,82.96,82.1973,82.1973
15/04/2020 13:30,82.08,82.84,81.99,82.59
15/04/2020 12:30,81.82,82.28,81.54,82.07
15/04/2020 11:30,80.845,81.84,80.8,81.83
15/04/2020 10:30,80.66,81.155,80.56,80.83
15/04/2020 09:30,81.17,81.77,80.56,80.66
14/04/2020 15:30,82.635,83.2,82.551,82.82
14/04/2020 14:30,82.48,82.66,82.2,82.63
14/04/2020 13:30,82.24,82.73,82.145,82.47
14/04/2020 12:30,82.405,82.61,81.98,82.24
14/04/2020 11:30,81.55,82.6,81.41,82.4
14/04/2020 10:30,81.89,82.08,81.02,81.54
14/04/2020 09:30,82.3434,83.1035,81.4291,81.8883
13/04/2020 15:30,80.68,81.2,80.29,80.52
13/04/2020 14:30,80.23,80.79,80.23,80.68
13/04/2020 13:30,80.24,80.69,80.06,80.245
13/04/2020 12:30,80.56,80.8129,80.02,80.2615
13/04/2020 11:30,80.09,80.6225,79.95,80.53
13/04/2020 10:30,80.12,80.35,79.83,80.08
13/04/2020 09:30,82.0636,82.47,80.11,80.18
09/04/2020 15:30,82.97,83.29,82.31,82.46
09/04/2020 14:30,82.63,82.98,82.22,82.97
09/04/2020 13:30,82.41,82.8,82.15,82.65
09/04/2020 12:30,82.01,82.47,81.7,82.4
09/04/2020 11:30,81.99,82.3,81.64,82.03
09/04/2020 10:30,81.49,82.35,81.08,82.01
09/04/2020 09:30,81.801,82.6126,80.9666,81.4759
08/04/2020 15:30,81.81,82.07,81.22,81.62
08/04/2020 14:30,81.06,81.935,81.0463,81.8
08/04/2020 13:30,80.17,81.07,79.87,81.06
08/04/2020 12:30,79.98,80.41,79.94,80.16
08/04/2020 11:30,79.7337,80.2,79.63,79.98
08/04/2020 10:30,78.92,79.99,78.77,79.73
08/04/2020 09:30,79.18,80.24,78.34,78.91
07/04/2020 15:30,79.07,79.825,78.4,78.51
07/04/2020 14:30,80.07,80.16,78.94,79.07
07/04/2020 13:30,80.53,80.65,80,80.1
07/04/2020 12:30,80.42,80.57,79.91,80.52
07/04/2020 11:30,80.21,80.6,79.88,80.41
07/04/2020 10:30,79.51,80.35,79.41,80.21
07/04/2020 09:30,81.62,81.94,79.02,79.5
06/04/2020 15:30,78.97,80.85,78.92,80.22
06/04/2020 14:30,78.42,79,78.38,78.97
06/04/2020 13:30,78.65,79,78.4,78.4
06/04/2020 12:30,78.82,79.08,78.5602,78.645
06/04/2020 11:30,78.96,79.09,78.56,78.83
06/04/2020 10:30,79.32,79.98,78.9,78.97
06/04/2020 09:30,78.33,79.77,77.9,79.31
03/04/2020 15:30,75.81,77.19,75.49,76.25
03/04/2020 14:30,75.86,76.0432,75.45,75.81
