Date,Open,High,Low,Close
24/04/2020 16:00,81.59,81.79,81.33,81.43
24/04/2020 15:45,81.54,81.62,81.46,81.58
24/04/2020 15:30,81.31,81.56,81.25,81.54
24/04/2020 15:15,81.36,81.47,81.21,81.30
24/04/2020 15:00,81.49,81.55,81.31,81.36
24/04/2020 14:45,81.52,81.55,81.38,81.48
24/04/2020 14:30,81.65,81.70,81.47,81.53
24/04/2020 14:15,81.52,81.71,81.45,81.66
24/04/2020 14:00,81.45,81.55,81.33,81.51
24/04/2020 13:45,81.65,81.67,81.31,81.44
24/04/2020 13:30,81.69,81.73,81.62,81.65
24/04/2020 13:15,81.83,81.83,81.65,81.69
24/04/2020 13:00,81.97,82.03,81.79,81.82
24/04/2020 12:45,82.03,82.06,81.89,81.96
24/04/2020 12:30,82.08,82.10,81.95,82.03
24/04/2020 12:15,81.74,82.09,81.74,82.09
24/04/2020 12:00,81.66,81.80,81.63,81.74
24/04/2020 11:45,81.63,81.72,81.60,81.66
24/04/2020 11:30,81.66,81.74,81.55,81.62
24/04/2020 11:15,81.75,81.81,81.60,81.66
24/04/2020 11:00,81.79,81.84,81.63,81.77
24/04/2020 10:45,81.72,81.83,81.57,81.77
24/04/2020 10:30,81.50,81.84,81.45,81.71
24/04/2020 10:15,81.35,81.65,81.34,81.52
24/04/2020 10:00,81.27,81.67,81.02,81.37
24/04/2020 09:45,81.60,81.72,81.20,81.27
23/04/2020 16:00,81.11,81.21,80.82,80.88
23/04/2020 15:45,81.14,81.30,81.01,81.10
23/04/2020 15:30,81.30,81.36,80.99,81.13
23/04/2020 15:15,81.61,81.82,81.32,81.32
23/04/2020 15:00,81.37,81.62,81.24,81.61
23/04/2020 14:45,81.23,81.39,81.20,81.32
23/04/2020 14:30,80.91,81.29,80.89,81.24
23/04/2020 14:15,81.13,81.14,80.79,80.93
23/04/2020 14:00,81.15,81.26,80.91,81.13
23/04/2020 13:45,80.99,81.22,80.98,81.12
23/04/2020 13:30,81.37,81.49,80.80,80.99
23/04/2020 13:15,80.73,81.38,80.73,81.36
23/04/2020 13:00,80.79,81.02,80.35,80.74
23/04/2020 12:45,81.43,81.43,80.65,80.77
23/04/2020 12:30,81.18,81.45,81.15,81.43
23/04/2020 12:15,81.14,81.29,80.99,81.20
23/04/2020 12:00,81.48,81.49,81.12,81.14
23/04/2020 11:45,81.71,81.75,81.43,81.48
23/04/2020 11:30,81.77,81.85,81.63,81.71
23/04/2020 11:15,81.73,81.88,81.69,81.75
23/04/2020 11:00,81.34,81.82,81.30,81.73
23/04/2020 10:45,81.36,81.45,81.21,81.36
23/04/2020 10:30,81.57,81.67,81.29,81.35
23/04/2020 10:15,81.38,81.61,81.19,81.58
23/04/2020 10:00,81.69,81.83,81.25,81.38
23/04/2020 09:45,80.74,81.72,80.17,81.68
22/04/2020 16:00,80.32,80.63,79.88,79.97
22/04/2020 15:45,80.39,80.46,80.22,80.31
22/04/2020 15:30,80.35,80.56,80.25,80.38
22/04/2020 15:15,80.08,80.41,80.00,80.34
22/04/2020 15:00,79.97,80.18,79.96,80.08
22/04/2020 14:45,79.80,80.06,79.78,79.96
22/04/2020 14:30,80.10,80.10,79.78,79.80
22/04/2020 14:15,80.19,80.25,80.10,80.11
22/04/2020 14:00,80.18,80.20,80.06,80.19
22/04/2020 13:45,80.29,80.32,80.03,80.17
22/04/2020 13:30,80.15,80.30,80.05,80.30
22/04/2020 13:15,79.86,80.22,79.81,80.14
22/04/2020 13:00,80.18,80.20,79.78,79.85
22/04/2020 12:45,80.09,80.27,79.96,80.16
22/04/2020 12:30,79.93,80.09,79.88,80.09
22/04/2020 12:15,79.95,80.07,79.81,79.92
22/04/2020 12:00,79.84,79.97,79.82,79.94
22/04/2020 11:45,79.76,79.91,79.70,79.82
22/04/2020 11:30,79.64,79.83,79.56,79.77
22/04/2020 11:15,79.45,79.82,79.42,79.64
22/04/2020 11:00,79.78,79.91,79.39,79.45
22/04/2020 10:45,79.60,79.89,79.51,79.78
22/04/2020 10:30,79.35,79.71,79.23,79.60
