Date,Open,High,Low,Close
08/11/2019,80.400002,80.839996,80.07,80.769997
07/11/2019,79.190002,80.459999,79.080002,80.269997
06/11/2019,79.029999,79.110001,78.419998,78.709999
05/11/2019,77.110001,79.040001,76.82,79
04/11/2019,77.199997,77.459999,76.419998,76.739998
01/11/2019,77.419998,77.629997,76.809998,77.050003
31/10/2019,77.43,77.510002,76.129997,77.190002
30/10/2019,76.959999,77.379997,76.260002,77.360001
29/10/2019,77.110001,77.699997,76.860001,77.190002
28/10/2019,76.989998,77.720001,76.849998,77
25/10/2019,76.610001,77.449997,76.370003,76.82
24/10/2019,76.769997,76.870003,74.93,76.489998
23/10/2019,76.519997,77.010002,76.290001,76.720001
22/10/2019,75.379997,76.769997,75.150002,76.470001
21/10/2019,75.550003,75.800003,75.169998,75.379997
18/10/2019,75.57,75.779999,74.910004,75.379997
17/10/2019,76.080002,76.32,75.160004,76.029999
16/10/2019,75.43,75.949997,74.300003,75.519997
15/10/2019,74.690002,76.120003,74.080002,75.699997
14/10/2019,74.769997,75.93,74.68,75.160004
11/10/2019,73.519997,75.309998,73.269997,74.650002
10/10/2019,74.699997,75.93,72.540001,73.169998
09/10/2019,75.209999,75.860001,74.75,74.800003
08/10/2019,76.470001,76.5,74.889999,74.970001
07/10/2019,77.089996,78,76.940002,77
04/10/2019,76.739998,77.68,76.650002,77.019997
03/10/2019,77.07,77.190002,75.669998,75.980003
02/10/2019,77.43,77.620003,76.279999,77.169998
01/10/2019,78.75,79.550003,78.07,78.129997
30/09/2019,77.889999,79.110001,77.889999,78.300003
27/09/2019,77.120003,77.82,76.980003,77.779999
26/09/2019,78.440002,78.889999,76.690002,76.879997
25/09/2019,78.68,79.209999,78.230003,78.519997
24/09/2019,78.099998,79.220001,77.75,78.699997
23/09/2019,77.779999,78.080002,77.529999,77.730003
20/09/2019,78.620003,78.650002,77.470001,77.870003
19/09/2019,79.019997,79.019997,78.190002,78.5
18/09/2019,79.169998,79.559998,78.559998,79.25
17/09/2019,78.860001,79.330002,77.980003,79.190002
16/09/2019,79.580002,79.760002,78.900002,78.970001
13/09/2019,80.970001,81.93,79.160004,80.129997
12/09/2019,82.010002,82.050003,80.220001,80.809998
11/09/2019,82.269997,82.629997,80.730003,81.989998
10/09/2019,78.529999,82.059998,78.139999,82.059998
09/09/2019,77.980003,78.599998,77.540001,78.470001
06/09/2019,78.220001,78.809998,77.510002,77.540001
